Band;FanfictionCount
Negative (Band);14
New Hope Club (Band);14
Odd Future;14
Straylight Run;14
Target (Korea Band);14
Telephone - Lady Gaga ft Beyoncé (Music Video);14
Tempo - EXO (Music Video);14
That Poppy (Musician) RPF;14
Tool (Band);14
Trans-Siberian Orchestra;14
Van Halen;14
Whisper - VIXX LR (Music Video);14
백퍼센트 | 100 Percent (Band);13
Alamat (Band);13
Behemoth (Band);13
Beyond (Band);13
Boys generally Asian | BgA;13
BREAKERZ;13
Bright Eyes (Band);13
Deftones (Band);13
Diplo (Musician);13
Kuroyume;13
Laboum (Band);13
凛 -the end of corruption world- | Lin -the End of Corruption World-;13
MAX (Musician);13
Moran (Band);13
Mother Love Bone;13
NKOTBSB Tour;13
NYC (Band);13
Over9000 (Band);13
ペンタゴン | Pentagon (Japan Band);13
Sam Smith (Musician);13
Testament (Band);13
Vidoll;13
Wednesday 13 (Band);13
Ya-ya-yah (Band);13
+44 (Band);12
Antic Cafe (Band);12
Beastie Boys (Band);12
Bebe Rexha (Musician);12
Blixa Bargeld (Musician);12
Blue Oyster Cult;12
BVNDIT (Band);12
Carach Angren (Band);12
Cinderella (Band);12
Confident - Demi Lovato (Music Video);12
데자부 | Deja Vu - Dreamcatcher (Music Video);12
Dr. Dre (Musician);12
Emerson Lake & Palmer (Band);12
Epica (Band);12
The Fox - Ylvis (Music Video);12
Foxboro Hot Tubs (Band);12
GLAY (Band);12
GOOD DAY (Korea Band);12
Grimes (Musician) RPF;12
Hot Milk (Band);12
The Kills;12
The Longshot (Band);12
Lovex (Band);12
Mumford & Sons (Band);12
Ozzy Osbourne (Musician);12
Perfume (Band);12
Prince (Musician) RPF;12
Slayer (Band);12
The Stooges (Band);12
Sugizo (Musician);12
T.M.Revolution;12
TRAX (Korea Band);12
Wallows (Band);12
Weird Al Yankovic (Musician);12
Wham! (Band);12
You Belong With Me - University of Rochester Yellowjackets (Music Video);12
Austin Mahone (Musician);11
Badflower (Band);11
Blank Space - Taylor Swift (Music Video);11
Brian London (Musician);11
Christina Aguilera (Musician);11
Dayshell (Band);11
Desolation Row - My Chemical Romance (Music Video);11
脏手指 | Dirty Fingers (Band);11
Fedez (Musician) RPF;11
GLAM (band);11
Halestorm;11
Heart Attack - LOONA (Music Video);11
Hizaki Grace Project;11
IZ (Band);11
Johnny Cash (Musician);11
Journey (Band);11
JXR (Korea Band);11
Kay Kay and His Weathered Underground (Band);11
こぶしファクトリー | Kobushi Factory;11
Mangled - Nathan Sharp (Music Video);11
Metis Gretel;11
Michelle Branch (Musician);11
Oingo Boingo (Band);11
Phantasmagoria (Japan Band);11
Phil Collins (Musician);11
Revolver - The Beatles;11
Seven O'Clock (Band);11
The Sounds;11
Stand Atlantic (Band);11
Steven Tyler (Musician);11
Take Me to Church - Hozier (Music Video);11
Troublemaker;11
Vampire Weekend;11
The Velvet Underground;11
VROMANCE (Band);11
The Weeknd (Musician);11
Acid Black Cherry;10
April (Band);10
Bad - Michael Jackson (Music Video);10
Bauhaus;10
The Birthday Party (Band);10
Black Sabbath;10
Blue Song - Mint Royale (Music Video);10
Chase Atlantic (Band);10
Country Girls (Japan Band);10
Deathstars (Band);10
DECAYS (Japan Band);10
Destroyer - Monsta X (Music Video);10
Dhani Harrison (Musician);10
Dresden Dolls;10
EPEX (Band);10
ERROR (Hong Kong Band);10
Fade (Band);10
Frank Ocean (Musician);10
Holland (Korea Musician);10
Hoppipolla (Korea Band);10
Issues (Band);10
Jessi (Korea Musician);10
JJAMZ (Band);10
JJCC (Band);10
Litesound (Band);10
Longguo & Shihyun (Band);10
Macklemore (Musician);10
普通人 | Mandarin (Band);10
Megaromania (Band);10
Memphis May Fire;10
Migimimi sleep tight (Band);10
Mint Royale;10
天选之城 - 威神V | Moonwalk - WayV (Music Video);10
NATURE (Korea Band);10
The Neighbourhood (Band);10
Never Gonna Give You Up - Rick Astley (Music Video);10
New Years Day (Band);10
New York Dolls (Band);10
Savage Garden;10
Schwein (Band);10
Shatter Me - Lindsey Stirling ft. Lzzy Hale (Music Video);10
Skillet (Band);10
Studio Killers (Band);10
Sufjan Stevens (Musician);10
狐と鬼の話 | The Story of the Kitsune and the Demon - -MASA Works DESIGN- (Songs);10
Tom Petty and the Heartbreakers;10
Trivium (Band);10
Tyler the Creator (Musician);10
Welle: Erdball;10
Whitesnake (Band);10
The Wiggles;10
With Confidence (Band);10
WITZ | We In The Zone (Band);10
365 Fresh - Triple H (Music Video);9
5urprise (Band);9
Against Me!;9
Berryz Koubou;9
The Blue Poptarts (Band);9
C-ute;9
Crosby Stills Nash & Young (Band);9
Drag Me Down - One Direction (Music Video);9
Drive-By Truckers;9
Eden (Korea Musician);9
Five Finger Death Punch;9
FNC Neoz School;9
From Eden - Hozier (Music Video);9
hide with Spread Beaver;9
Hole (Band);9
John Mayer (Musician);9
Joy Division (Band);9
Jung Sewoon (Musician);9
Kim Samuel (Musician);9
Little Sea (Band);9
Mayday Parade (Band);9
Miranda Lambert (Musician);9
The Misfits (Band);9
MOBB (Band);9
The Moody Blues (Band);9
Mr. Big (US Band);9
New - LOONA (Music Video);9
NOIR (Korea Band);9
Pandora Voxx;9
Porcupine Tree;9
Rancid (Band);9
重塑雕像的权利 | Re-TROS (Band);9
Schwarz Stein;9
Se7en (Korea Musician) RPF;9
Septicflesh (Band);9
She Keeps Me Warm - Mary Lambert (Music Video);9
The Small Faces (Band);9
Smashing Pumpkins;9
Snuper (Band);9
Steely Dan (Band);9
The Stone Roses (Band);9
UNI.T (Band);9
Viva La Vida - Coldplay (Music Video);9
Young Love (Band);9
100 Gecs (Band);8
Addicted to You - Avicii (Music Video);8
Allison Iraheta (Musician);8
Anli Pollicino;8
The Baseballs (Band);8
Better Than I Know Myself - Adam Lambert (Music Video);8
Big Russian Boss (Musician);8
BLANC7 (Band);8
Бог проклятых - БИ-2 | Bog Proklyatikh - BI-2 (Music Video);8
Bullet For My Valentine;8
The Chainsmokers (Band);8
CIIPHER (Band);8
The Crane Wife 1-3 - The Decemberists (Songs);8
Creeper (UK Band);8
D-CRUNCH (Band);8
DatuRΛ (Japan Band);8
The Dead Weather;8
Dire Straits (Band);8
The Driver Era (Band);8
Dua Lipa (Musician);8
Elastica (Band);8
Elix Risqué (Musician);8
Ellie Goulding (Musician);8
Fatima (Band);8
Gangpol & Mit (Band);8
Hangeng (Musician);8
Headstones (Band);8
Heffron Drive (Band);8
HONEYST (Band);8
IV of Spades (Band);8
IVE (Band);8
Joywave (Band);8
THE KIDDIE (Band);8
King Crimson (Band);8
Кипелов | Kipelov (Band);8
Kiyoharu (Musician);8
Kizu (Band);8
Koda Kumi (Musician);8
LAREINE;8
Lordi (Finland Band);8
Маврин | Mavrin (Russia Band);8
MBA (Korea Band);8
Meg & Dia (Band);8
Mindless Behavior (Band);8
Miroh - Stray Kids (Music Video);8
Mr. 钛戈 | Mr. TyGer (Band);8
Neal Tiemann (Musician);8
Nickelback (Band);8
Oomph! (Band);8
The Oral Cigarettes (Band);8
Peter Gabriel (Musician);8
PHASES (Band);8
POCKETDOLZ (Band);8
Rain (Korea Musician) RPF;8
Rentrer en Soi;8
Robbie Williams (Musician);8
Roundtable Rival - Lindsey Stirling (Music Video);8
Skinny Puppy (Band);8
So You Think You Can Dance Routines;8
Sonata Arctica;8
SPICA (Band);8
Styx (Band);8
T1419 (Korea Band);8
Taconafide (Band);8
"Віталій ""Витас"" Владасовіч Грачов | Vitaliy ""Vitas"" Vladasovich Grachov (Musician)";8
ビバラッシ | Vivarush (Band);8
Voltaire (Musician) RPF;8
We Came As Romans (Band);8
Wings | Paul McCartney and Wings (Band);8
12012 (Band);7
2gether (US Band);7
Abingdon Boys School (Band);7
ADAMS (Band);7
Aquarium (Russia Band);7
Architects (UK Band);7
The Ark (Korea Band);7
Ballistik Boyz from Exile Tribe (Band);7
Beady Eye (Band);7
Blessthefall (Band);7
The Boomtown Rats;7
Bronte - Gotye (Music Video);7
Childish Gambino (Musician);7
Chris Brown (Musician) RPF;7
Cyber (Iceland Band);7
The Decemberists (Band);7
Disturbed (Band);7
Il Divo;7
Dongkiz (Korea Band);7
Electronic (UK Band);7
Emilie Autumn (Musician);7
The Enigma TNG (Musician);7
ENOi (Band);7
Fantastic Leslie RPF;7
Flёur (Ukraine Band);7
g.o.d (Korea Band);7
Giriboy (Musician) RPF;7
Haim (Band);7
The Hatters (Russia Band);7
Heize (Musician);7
Jealousy - Monsta X (Music Video);7
Joyside (Band);7
Julian Casablancas + The Voidz;7
Kaiser Chiefs;7
Keith Urban (Musician);7
Literary Nonsense - E ve (Music Video);7
"lofi hip hop radio; beats to relax/study to - ChilledCow (Music Videos)";7
摩天楼オペラ | Matenrou Opera;7
THE MICRO HEAD 4N'S;7
MVP (Band);7
Neon Jungle (Band);7
Old Town Road - Lil Nas X ft. Billy Ray Cyrus (Music Video);7
Royal Pirates (Band);7
Shoot Out - Monsta X (Music Video);7
Signal - TWICE (Music Video);7
超级市场 | Supermarket (Band);7
Swinging London RPF;7
Talking Heads (Band);7
TEEN TEEN (Korea Band);7
Thriller - Michael Jackson (Music Video);7
The Tide (US Band);7
Two Door Cinema Club;7
Vienna Teng (Musician);7
Angra (Band);6
Bad Girl - Madonna (Music Video);6
Baumkuchen End - E ve (Music Video);6
Beovizija RPF;6
Berry Good (Band);6
Big Byung (Band);6
Billy Talent (Band);6
Black Gene for the Next Scene (Band);6
Blitzkid (Band);6
Boyzone (Band);6
Buffalo Springfield (Band);6
Busters (Band);6
Call Me Maybe - Carly Rae Jepsen (Music Video);6
Canadian Musician RPF (C6D);6
Carly Rae Jepsen (Musician);6
The Cars (Band);6
Centuries - Fall Out Boy (Music Video);6
Charli XCX (Musician);6
Coheed and Cambria (Band);6
Crazy - Aerosmith (Music Video);6
Creature Feature (Band);6
The Crüxshadows;6
The Cult (Band);6
D'erlanger;6
대취타 | Daechwita - Agust D (Music Video);6
Daft Punk Medley - Pentatonix (Music Video);6
Danzig (Band);6
Dessa (Musician);6
DreamNote (Band);6
E'm~grief~;6
Emblem3;6
Emperor (Band);6
Eric Saade (Musician);6
Europe (Sweden Band);6
Faith No More (Band);6
Fly Away Hero (Band);6
Gladiator - Dami Im (Music Video);6
Gravel To Tempo - Hayley Kiyoko (Music Video);6
Heer Halewijn (Traditional Ballad);6
Hotel Persona (Band);6
How To Destroy Angels (Band);6
Izzy Stradlin (Musician);6
Jethro Tull (Band);6
Josh Groban (Musician);6
Kaizers Orchestra;6
Kavinsky (Musician);6
Kerbera (Sweden Band);6
Kings of Leon;6
L.A. Guns (Band);6
Ladies' Code;6
Ludo (Band);6
맵6 | M.A.P.6;6
Mayfly (Band);6
Mr. Bungle (Band);6
My Heaven's Luck Sisters;6
Neck Deep (Band);6
Neon Trees;6
New Order (Band);6
November Rain - Guns N' Roses (Music Video);6
NRG (Band);6
OK Go;6
Opeth (Band);6
Palo Santo - Years & Years (Music Video);6
Peek-A-Boo - Red Velvet (Music Video);6
Pink Fantasy (Band);6
PIXY (Band);6
Ratt (Band);6
Ready For It - Taylor Swift (Music Video);6
The Ready Set;6
SCANDAL (Japan Band);6
The Sisters of Mercy (Band);6
Smash Mouth (Band);6
Steel Panther;6
The Summer Set;6
Take on Me - A-ha (Music Video);6
つばきファクトリー | Tsubaki Factory;6
Unwritten Rule (Band);6
VARSITY (Korea & China Band);6
Wendy Trilogy - S. J. Tucker (Song Cycle);6
Wizzard (Band);6
XXXTentacion (Musician) RPF;6
Zhang Liyin (Musician);6
&AUDITION Boys (Band);5
14U (Band);5
1TYM;5
8P-SB (Band);5
Adam Ant (Musician);5
Adele (Musician);5
알파벳 | AlphaBAT;5
The Amity Affliction;5
Angdreville | ADV;5
Anteros (Band);5
AnyBand;5
Arma Angelus;5
BAND-MAID (Band);5
Barenaked Ladies (Band);5
Becky G (Musician) RPF;5
Bee Gees (Band);5
Billy Idol (Musician);5
Black Rebel Motorcycle Club;5
Calvin Harris (Musician);5
Cavetown (Band);5
Come Back Home - 2NE1 (Music Video);5
A Complete History of the Soviet Union as Told by a Humble Worker Arranged to the Melody of Tetris;5
Crayon Pop (Band);5
Creature Creature (Band);5
Da Band (Band 2002);5
Dal Shabet;5
Dangerous - Michael Jackson (Music Video);5
Darren Hayes (Musician);5
Deine Lakaien (Band);5
Dokken (Band);5
Dope (US Band);5
DREAMERS (Band);5
Dungeon Beijing;5
The Eagles (Band);5
Enrique Iglesias (Musician);5
Everything at Once - Travis (Music Video);5
Everything Has Changed - Taylor Swift/Ed Sheeran (Music Video);5
EvoL (Korea Band);5
Extize (Band);5
F.Cuz;5
FIDLAR (Band);5
Философский камень - БИ-2 | Filosofskiy Kamen - BI-2 (Music Video);5
花儿乐队 | The Flowers (Band);5
Fly To The Sky;5
Flyleaf (Band);5
Frankenstein Drag Queens From Planet 13 (Band);5
Free-Out (Band);5
The Garden (Band);5
Get Scared (Band);5
The Girl and the Dreamcatcher (Band);5
Hazard - Richard Marx (Music Video);5
The Hollies (Band);5
Home Free (Band);5
HomeTown (Band);5
Hoodie Allen (Musician);5
Icon For Hire (Band);5
INI (Japan Band);5
Jack Off Jill;5
Janelle Monae (Musician);5
Jerry Cantrell (Musician);5
Judas - Lady Gaga (Music Video);5
Jurk! (Band);5
JUSF周存 | JUSF Zhōu Cún (Musician);5
雀羅 | Jyakura;5
Kate Bush (Musician) RPF;5
King and Lionheart - Of Monsters and Men (Music Video);5
LEZARD (Band);5
The Life of Riley (Band);5
Look What You Made Me Do - Taylor Swift (Music Video);5
The Lords of the New Church (Band);5
LOUD (Korea TV);5
The Lovin' Spoonful (Band);5
Machine Head (Band);5
Mariah Carey (Musician);5
Мастер | Master (Russia Band);5
Matchbox 20 (Band);5
melody (Japanese Musician) RPF;5
MeseMoa. (Band);5
Mest;5
Mili (Band);5
弥叉 | Missa;5
Modest Mouse (Band);5
ももいろクローバーZ | Momoiro Clover Z;5
Mr.Mr;5
New Rules - Dua Lipa (Music Video);5
Nico and the Niners - Twenty One Pilots (Music Video);5
Nuthang;5
O-Town;5
The Offspring;5
OneRepublic (Band);5
Orgy For One - Ninja Sex Party (Music Video);5
Phoenix (Band);5
Point North (Band);5
Prima Donna (US Band);5
R.o.S.E BLUE - Dreamcatcher (Music Video);5
환불 원정대 | Refund Sisters (Band);5
Richard Hell And The Voidoids (Band);5
Rise Against;5
S Club 7 (Band);5
Scarborough Fair - Simon & Garfunkel (song);5
Scorpions (Band);5
Sparks (US Band);5
星ノ少女ト幻奏楽土 | Star Girl and the Illusion Paradise - Story Researcher (Songs);5
Stitches (Musician) RPF;5
Stratovarius;5
快乐男声2017 | Super Boy 2017;5
SWIN (Band);5
This Boy - The Beatles;5
Thomas the Rhymer (Traditional Ballad);5
USS (Canada Band);5
VersaEmerge;5
Visage (Band);5
Voivod (Band);5
Vundabar (Band);5
Whiskey Lullaby - Brad Paisley & Alison Krauss;5
Wildest Dreams - Taylor Swift (Music Video);5
Wintersun (Band);5
woo!ah! (Korea Band);5
xaa-xaa (Band);5
Yellowcard (Band);5
$uicideboy$ (Band);4
3OH!3;4
Abney Park;4
Against the Current (Band);4
Alter Bridge;4
The Altogether (Band);4
Amaranthe (Band);4
Arlequin (Japan Band);4
Atreyu (Band);4
AURORA (Norway Musician);4
Beck (Musician);4
BESTie (Band);4
美少年 | Bishounen (Band);4
Black 'N Blue (US Band);4
Black Flag (Band);4
Blaqk Audio;4
Bleachers (Band);4
Body of Light (Band);4
Breathe Carolina;4
BT (Musician);4
Bump of Chicken (Band);4
Butch Walker (Musician);4
BUTOUKAN;4
Car Seat Headrest (Band);4
Caravan Palace (Band);4
Celestial Garden (Band);4
Cher (US Musician) RPF;4
CoCoSoRi (Band);4
Cornbugs (Band);4
The Crane Wives (Band);4
Crossfire - Brandon Flowers (Music Video);4
Cupcakke (Musician) RPF;4
The Damned Things (Band);4
Danger Gang;4
Dead Boys (Band);4
DEAD END (Band);4
Dead or Alive (Band);4
Death Grips (Band);4
DELUHI;4
DEZERT (Band);4
DISH// (Band);4
Dramaturgy - E ve (Music Video);4
Dream Theater (Band);4
Елена Войнаровская | Elena Voinarovskaya (Musician);4
Eraserheads (Band);4
Everfound (Band);4
法兹 | FAZI (Band);4
Fiction Plane (Band);4
FIESTAR;4
Garbage (Band);4
Gatsbys American Dream (Band);4
The Germs (Band);4
Gold Motel;4
HIGH4 (Band);4
Hippo Campus (Band);4
History - Michael Jackson (Music Video);4
The Hoodies (Band);4
IC3PEAK (Band);4
Ingram Hill (Band);4
INXS;4
The Jam (UK Band);4
Janis Joplin (Musician);4
Jay-Z (Musician);4
Jeff Buckley (Musician);4
JKT48;4
Joan Baez (Musician);4
Judas Priest;4
Juliet Simms (Musician);4
Jumpsuit - Twenty One Pilots (Music Video);4
K.Will (Musician) RPF;4
Kagerou (Band);4
Keane (Band);4
Kemp Owyne (Traditional Song);4
KHAN (Korea Band);4
King Gizzard & The Lizard Wizard (Band);4
Kisaki Project;4
ครึ่งชีวิต (ทั้งจิตใจ) | Krueng Shivit (Tang Jitjai) - New Jiew (Music Video);4
La:Sadie's;4
Lady (Band);4
LEDApple;4
LIGHTSUM (Band);4
Lil' Wayne (Musician);4
Lost Society (Band);4
Loudness (Japan Band);4
Love Is a Camera - Sophie Ellis-Bextor (Music Video);4
LUNAFLY;4
Machine (Japan Band);4
Magnum Bullets - Night Runner ft. Dan Avidan (Music Video);4
MASC (Band);4
ME!ME!ME! - Teddyloid (Music Video);4
MGMT (Band);4
Ministry (Band);4
MoNoLith (Japan Band);4
Morningwood;4
Motion City Soundtrack (Band);4
Mushroomhead (Band);4
My Darling Murder;4
吳奇隆 | Nicky Wu (Musician);4
The Northern Hues (Band);4
Nothing But Thieves (Band);4
Of Monsters and Men (Band);4
OLDCODEX (Band);4
Orange Caramel (Band);4
Otokogumi (Band);4
Our Last Night (Band);4
Out of the Woods - Taylor Swift (Music Video);4
Outsider - E ve (Music Video);4
Пекло - БИ-2 | Peklo - BI-2 (Music Video);4
Pink (Musician);4
短裤里的诗歌 | Poetry in shorts (Band);4
Primus (Band);4
Psycho le Cému;4
Puddles Pity Party;4
Q.U.E.E.N. - Janelle Monáe (Music Video);4
Radioactive (Music Video);4
Reckless Love (Band);4
REO Speedwagon;4
Rich Chigga (Musician);4
Rick Jordan (Musician);4
Rilo Kiley;4
Rock and Roll Dreams Come Through - Meat Loaf (Music Video);4
Rod Stewart (Musician);4
Rolling Quartz (Band);4
The Saturdays (Band);4
Scarborough Fair (Traditional Ballad);4
Schokk (Musician) RPF;4
SebastiAn (French Musician) RPF;4
Secert (Band);4
Selena Quintanilla (Musician);4
ШАРЫ | Shary (Band);4
Shiraz Lane (Band);4
Silverchair (Band);4
Sleeping At Last (Band);4
Sonic Youth (Band);4
Spandau Ballet;4
Static-X (Band);4
Stellar (Korea Band);4
Stone Temple Pilots (Band);4
Styles of Beyond;4
Suicide Silence;4
快乐男声2013 | Super Boy 2013;4
Suran (Musician);4
Tame Impala;4
Tasty (Band);4
Team StarKid's Apocalyptour;4
thenewno2;4
Those Who Dream (Band);4
Tiny-G;4
Transtic Nerve | The Underneath;4
Trey Songz (Musician);4
Trouble - Pink (Music Video);4
Ultravox (Band);4
umbrella (Japan Band);4
Underøath (Band);4
v[NEU];4
Vain (Band);4
LA VALLIÉRE (Band);4
Vice Grip (Band);4
Violent New Breed (Band);4
Virgin Prunes;4
Volbeat (Band);4
Wake Up - Black Veil Brides (Music Video);4
WARPs Up (Band);4
Warugaki (Band);4
Wilco;4
Winger (Band);4
Winter Song - Sara Bareilles (Music Video);4
The World Is Not Enough - Garbage (Music Video);4
Zico Chain;4
1 Trait Danger (Band);3
3YE (Korea Band);3
98 Degrees;3
9x9 | NINE BY NINE (BAND);3
a-ha (Band);3
A.KOR;3
Aaliyah (Musician) RPF;3
ABC (UK Band);3
Acid Android (Band);3
A ぇ! Group! | Ae! Group! (Band);3
Alanis Morissette (Musician);3
Alestorm (Band);3
Alicia Keys (Musician);3
Allen Mack Myers Moore (Band);3
Amon Amarth (Band);3
Die Antwoord (Band);3
Aphex Twin;3
Arcade Fire (Band);3
Axel F - Crazy Frog (Music Video);3
Ayreon (Band);3
Babyshambles (Band);3
Bad Suns (Band);3
Ballad of Mona Lisa - Panic! At the Disco (Music Video);3
Barry Manilow (Musician);3
Bears in Trees (Band);3
Begin Again - Taylor Swift (Music Video);3
The Best Song Ever - Gabrielle Aplin;3
Bikini Kill (Band);3
Birdy (Musician);3
The Blackout (Band);3
Blind Guardian (Band);3
BLK (Band);3
Blutengel (Band);3
BoybandPH (Band);3
boygenius (Band);3
Bulldok (Band);3
bury a friend - Billie Eilish (Music Video);3
By-Sexual (Band);3
Carnival of Rust - Poets of the Fall (Music Video);3
Celine Dion (Musician);3
Celtic Woman (Band);3
Chakuza (Musician);3
Chitown Hipsters;3
Chloe x Halle (Band);3
Черное солнце - БИ-2 | Chornoye Solntse - BI-2 (Music Video);3
Chunk! No Captain Chunk! (Band);3
City Morgue (Band);3
Clazziquai;3
ClearVeil (Band);3
Click#15 (Band);3
Closer - Oh My Girl (Music Video);3
Couple d'Ange (Japan Band);3
Crystal Castles (Band);3
D1CE (Band);3
Dark Sarah (Band);3
David Byrne (Musician);3
那不勒斯的黎明 | Dawn in Naples - SNH48 (Music Video);3
The Dead End Kids Club (Band);3
Dean Lewis (Musician);3
defspiral (Band);3
Diamond Head (Band);3
Diggy Diggy Hole - Yogscast (Music Video);3
Dimmu Borgir (Band);3
DIV (Japan Band);3
DJ SiSeN;3
Drowned Lovers (Traditional Scottish Ballad);3
Echostream;3
Elvis Costello (Musician);3
Empire of the Sun (Band);3
De Eneste To (Band);3
Der Erlkönig | The Erlking - Johann Wolfgang von Goethe (and Schubert);3
EXP EDITION (Band);3
Extreme (Band);3
Faded - Alan Walker (Music Video);3
Far East Mention Mannequins;3
Faster Pussycat (Band);3
Father John Misty (Musician);3
Filter (Band);3
Find You - Monsta X (Music Video);3
Finntroll (Band);3
Flogging Molly;3
Flower (Japan Band);3
Fly High - Dreamcatcher (Music Video);3
Fort Minor (Musician);3
学芸大青春 | GAKUGEIDAI JUNES (Band);3
THE GALLO (Band);3
Gemini Club (Band);3
Genitorturers (Band);3
Ghost - Halsey (Music Video);3
GHOST (Japan Band);3
Ghost Town (Band);3
GIRLKIND (Korea Band);3
Girls - NATURE (Music Video);3
Girls Girls (Korea Band);3
Godsmack (Band);3
Good Night - Dreamcatcher (Music Video);3
Green River (Band);3
グリーヴァ | Grieva (Band);3
Hall & Oates (Band);3
Hank Williams (Musician);3
Heavy Light - Animusic (Music Video);3
Hedley;3
Homeless Gospel Choir (Band);3
Hurricane - 30 Seconds to Mars (Music Video);3
I See Stars (Band);3
Imminence (Band);3
Incubus (Band);3
Interlunium (Band);3
Iron - Woodkid (Music Video);3
James Blunt (Musician);3
Kamelot (Band);3
KIL:erre;3
Kittie (Band);3
KMFDM (Band);3
KuRt (Band);3
Kuza (Band);3
Last Dance - E ve (Music Video);3
Liphlich (Band);3
Lisa Marie Presley (Musician);3
LU:KUS;3
LUCENTE (Korea Band);3
Lucky - Britney Spears (Music Video);3
Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off - Panic! At the Disco (Video);3
Lyke-Wake Dirge (Traditional Song);3
MAJORS (Korea Band);3
Mando Diao;3
マルコ | Marco (Band);3
Maximum the Hormone (Band);3
Mini Mansions (Band);3
Missing Persons (Band);3
Missy Elliott (Musician);3
MKTO (Band);3
Monster - Red Velvet - Irene & Seulgi (Music Video);3
The Motels (Band);3
Motörhead (Band);3
Моя любовь - БИ-2 | Moya Lubov - BI-2 (Music Video);3
